timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-23.7900,-23.3350,20.3930,-6.7690,5.3710,9.3360,5.9040,-4.2040,7.4910,1.3350,-2.3530,2.6580,5.1730,3.3620,4.4640,0.8670,-5.5930,8.0950,6.8330,-16.8230,-5.0810,2.4990,0.0460,5.7210,-4.6760,-5.8110,6.5720,1.7320,-24.3780,-24.1000,0.4750,0.9450,7.3970,-5.8470,-6.8590,2.5590,1.5160,-13.0500,12.6360,-0.2900,5.6000,3.2130,-2.5860,-5.2700,8.2000,1407.7200,1134.9690,180.0000,35.5070,42.4690,42.2930,-1.2400,1.1890,4.3980
20,-23.6220,-23.4420,20.6300,-7.5630,6.3630,11.8400,5.6260,-4.2310,7.3600,1.2930,-2.1970,2.7850,7.5250,2.7210,6.3420,1.3170,-5.5400,7.9250,6.6790,-16.7010,-4.8980,6.9880,1.1450,9.1560,-3.7850,-5.7250,6.0670,1.9100,-24.3980,-23.8730,-1.6770,7.6170,11.3970,-5.8300,-6.9360,2.3420,1.6090,-12.9520,12.6360,1.5120,6.9430,4.6940,-2.2340,-4.8960,7.6760,1408.4640,1135.5260,180.0000,34.6370,42.8350,43.5140,-1.2890,1.1480,4.4340
40,-23.4210,-23.6300,20.9100,-8.4030,7.2490,13.9770,5.5590,-4.4530,7.3000,1.4060,-2.1730,2.9460,4.4100,5.1630,8.0820,0.8810,-5.3850,7.3290,6.8110,-16.6720,-4.7860,2.6210,1.6640,5.5840,-5.0300,-5.9860,6.3210,2.1620,-24.4930,-23.6790,-2.8680,8.8690,9.6710,-6.3760,-7.3140,2.3100,1.8600,-13.0500,12.6360,-2.1060,11.1420,4.2970,-2.6670,-5.5310,7.8720,1409.1630,1136.0610,180.0000,33.4610,40.6060,40.5980,-1.4630,1.0890,4.5010
60,-23.4210,-23.6300,20.9100,-8.4030,7.2490,13.9770,5.5590,-4.4530,7.3000,1.6200,-2.2880,3.0930,-1.9560,3.1330,7.3490,0.4760,-6.4740,8.7030,6.9660,-16.6250,-4.7860,-0.2180,0.0460,4.7440,-5.7770,-6.3610,7.0920,2.4600,-24.6650,-23.5310,-1.4020,3.1590,7.3970,-6.7280,-6.9260,1.8890,2.2090,-13.1760,12.6360,-1.8160,11.6460,4.4190,-3.0290,-5.6070,7.7550,1409.8940,1136.6030,180.0000,33.8280,42.2100,44.8270,-1.3430,1.1010,4.4580
80,-23.2310,-23.7940,21.2130,-9.2880,5.8290,15.1520,5.5260,-4.4270,7.4530,1.6790,-2.2600,3.3000,1.3720,2.4300,10.3110,0.7470,-6.6320,9.2300,7.2360,-16.5240,-4.5300,3.3080,1.6790,12.8200,-5.8710,-6.0570,6.6890,2.7990,-24.8390,-23.2660,-6.3800,5.3110,13.2590,-7.4150,-7.5200,2.3060,2.5480,-13.2430,12.6360,0.0000,6.8060,3.1060,-3.4790,-5.6770,7.9770,1410.6650,1137.1830,180.0000,35.7670,44.1790,44.5520,-1.3350,1.1150,4.4750
100,-23.1360,-24.0560,21.6070,-13.3040,3.7520,19.7170,5.8540,-4.6040,7.5610,1.8360,-2.1350,3.6170,7.4020,5.4990,15.8680,0.8090,-6.0190,8.4730,7.3310,-16.4590,-4.1060,3.5370,1.0530,21.2170,-5.1360,-6.0930,6.5580,2.9090,-24.9880,-22.8640,-8.0590,1.3880,20.0840,-6.3400,-7.0940,2.3100,2.7580,-13.2030,12.8810,0.9160,8.6690,12.2360,-2.9310,-5.4970,8.2620,1411.4710,1137.7660,180.0000,35.8740,45.9650,47.4830,-1.3220,1.1170,4.4410
120,-22.6160,-24.6950,22.6760,-12.0210,10.0270,26.8930,6.8120,-5.2720,7.7790,1.9480,-1.9920,4.0310,9.4940,7.8810,20.7230,1.0460,-5.7320,7.9770,7.3480,-16.4370,-3.5710,3.6750,2.6410,26.7130,-4.6040,-6.0670,6.3330,2.9350,-25.1320,-22.4140,-10.8380,0.1360,22.5260,-6.1990,-7.1850,2.4850,2.9130,-13.1270,13.2510,2.7030,10.5620,18.4950,-2.5550,-5.3680,8.0920,1412.3060,1138.3420,180.0000,35.5530,47.4000,43.6670,-1.3110,1.1100,4.4800
140,-22.5220,-24.8450,22.9930,-6.1430,14.0580,15.8550,6.7640,-4.8960,7.6230,2.0010,-1.9210,4.5140,6.5320,10.0180,24.1280,1.4290,-6.0090,8.3220,7.3620,-16.4510,-3.0080,1.0030,3.6490,28.1790,-4.7880,-6.3900,6.7490,2.9350,-25.3290,-21.9170,-13.6310,1.6620,24.8620,-5.9450,-7.1900,2.4610,2.9790,-12.9350,13.6880,6.5960,10.8060,21.8540,-2.0570,-4.8050,7.5030,1413.1560,1138.9330,180.0000,36.2710,48.1480,43.9870,-1.3230,1.0810,4.4720
160,-22.5220,-24.8450,22.9930,-6.1430,14.0580,15.8550,6.7640,-4.8960,7.6230,2.1310,-1.8470,5.0460,5.4330,15.2550,26.5860,1.5750,-6.2540,8.8390,7.5020,-16.4510,-2.3700,2.1790,9.5570,31.8740,-5.0520,-6.6750,7.0080,3.0210,-25.5870,-21.3670,-16.5930,6.2730,27.4880,-6.2110,-7.5370,2.5310,3.3100,-12.9210,14.1610,0.0160,21.4930,23.6250,-2.7610,-5.9520,8.9730,1414.0270,1139.5400,180.0000,37.1100,49.1870,44.6280,-1.4260,1.0650,4.4770
180,-21.6350,-25.2550,23.1740,-12.4490,35.4930,2.1910,6.2970,-4.9150,7.6780,2.5760,-1.7120,5.5850,8.2270,22.8880,26.9680,0.9220,-6.4400,9.1840,7.8720,-16.3500,-1.6720,6.9270,15.0990,34.9120,-5.4730,-6.4380,6.8120,3.3600,-25.9030,-20.7090,-17.2960,13.4790,32.8930,-6.7590,-7.5610,2.3580,3.7330,-12.8720,14.6570,3.7100,24.9280,24.8010,-2.6740,-5.4990,8.0780,1414.9430,1140.1660,180.0000,38.0260,51.4770,43.5140,-1.5690,1.1220,4.4870
200,-20.6610,-25.6880,23.1740,-17.5020,38.1190,-3.9930,5.0250,-5.5640,8.0610,3.2850,-1.5520,6.1000,12.9600,28.1860,25.7310,0.1870,-6.3590,8.6960,8.2170,-16.1840,-0.9570,8.7440,17.8010,35.7360,-6.6560,-6.5820,6.8330,3.8620,-26.3330,-20.0180,-17.7990,16.6850,34.5570,-7.6900,-8.0090,2.1240,4.3840,-12.8920,15.1800,0.6110,32.7600,26.1750,-3.2630,-5.8970,8.6070,1415.8380,1140.7860,180.0000,37.7360,50.3930,41.3150,-1.7680,1.1200,4.6060
