timestamp,thumb_P,thumb_R,thumb_Y,thumb_gx,thumb_gy,thumb_gz,thumb_ax,thumb_ay,thumb_az,index_P,index_R,index_Y,index_gx,index_gy,index_gz,index_ax,index_ay,index_az,middle_P,middle_R,middle_Y,middle_gx,middle_gy,middle_gz,middle_ax,middle_ay,middle_az,ring_P,ring_R,ring_Y,ring_gx,ring_gy,ring_gz,ring_ax,ring_ay,ring_az,pinky_P,pinky_R,pinky_Y,pinky_gx,pinky_gy,pinky_gz,pinky_ax,pinky_ay,pinky_az,palm_P,palm_R,palm_Y,palm_gx,palm_gy,palm_gz,palm_ax,palm_ay,palm_az
0,-7.0280,-61.9920,-173.3060,170.5970,84.4870,-87.7490,3.3710,-5.7010,0.4620,9.7440,187.2500,-179.9340,191.4340,-44.6460,-29.4090,-0.1130,1.7020,-8.0830,-40.1630,152.5380,-176.8610,146.5310,-136.8590,8.7190,4.2450,2.7250,-7.6280,-64.1540,194.6990,-164.1900,179.0180,-64.0040,104.3420,6.2990,4.3930,-7.3170,-7.1260,-136.4590,-180.0000,205.3980,-60.3810,-8.0650,-0.6010,-2.5740,-9.4570,-7.6740,6.0630,172.1890,158.4030,62.1710,81.6780,-4.7600,1.4890,11.1330
20,-5.5100,-59.4260,-174.8860,131.2850,70.7460,-79.0470,0.9240,-1.3430,-1.7450,9.3080,191.9310,-180.0000,137.1130,-18.7680,-21.1340,1.1640,3.2510,-4.8910,-44.1710,157.7140,-176.6540,108.5460,-87.1340,10.3830,5.4660,3.4190,-5.7630,-66.3570,196.2390,-162.2380,163.6740,-59.5460,97.5780,6.6530,4.8310,-5.9160,-9.6360,-135.5260,-180.0000,179.2910,-47.7240,-9.6530,0.6080,-0.7900,-8.9090,-5.7910,9.5670,173.4410,122.6020,29.7740,62.6090,-4.1470,2.8230,9.1100
40,-4.8410,-58.6300,-176.2550,42.7960,28.2730,-68.4210,-0.2870,-0.2130,-1.4390,9.7370,194.7820,-180.0000,45.5710,24.5300,-6.2640,0.3900,2.2700,-2.6860,-44.4710,158.9970,-176.3580,48.5150,-7.0270,14.7950,2.4780,2.2530,-2.8850,-67.0910,194.7430,-160.8900,115.2320,-30.5840,67.4100,5.3490,6.1510,-4.0220,-9.9870,-133.6030,-180.0000,110.8330,-15.6170,-18.3850,-0.2180,1.7860,-6.9220,-5.9190,12.2310,174.0340,65.4410,-20.4100,29.6470,-2.6720,3.4310,8.1760
60,-5.0210,-59.5600,-177.0700,-43.5250,-14.2150,-40.7570,0.1200,-1.1250,0.2730,10.6000,195.9420,-179.7770,-38.9940,46.2550,11.1560,-0.7160,1.1520,-2.4800,-43.5350,158.9050,-175.9760,-20.2330,54.7740,19.0850,1.4940,2.5830,-3.7090,-66.9930,195.4180,-160.3950,35.8580,7.5220,24.7840,2.1450,3.0190,-2.2530,-9.4990,-133.4720,-180.0000,21.1690,26.3370,-18.4770,0.1460,2.2030,-3.7920,-7.0210,12.8860,173.6630,-12.6650,-51.5240,-18.5360,-2.1070,3.2180,8.5690
80,-5.6300,-61.6570,-176.8930,-101.8910,-35.6050,8.8310,1.3170,-3.5890,0.8500,11.4980,195.8070,-179.1680,-103.6810,47.9960,30.4540,-1.3740,0.4480,-5.2220,-41.7840,157.5130,-175.5730,-85.2250,95.5380,20.1230,1.3550,2.2150,-5.3730,-66.3210,194.4400,-160.5610,-46.7840,36.2710,-8.2990,2.1260,3.2370,-3.4210,-8.4560,-135.0170,-180.0000,-62.5560,54.0470,-0.8130,-0.9120,-0.0050,-4.3240,-8.6110,11.1720,172.4080,-83.7490,-59.7070,-62.7650,-1.4320,1.8440,9.4620
100,-6.3310,-64.4830,-175.7600,-138.3190,-40.2310,56.6480,3.6030,-5.2550,1.1280,12.1570,194.7470,-178.1410,-150.0010,35.9960,51.3550,-0.9150,0.6440,-7.2420,-39.6260,159.8260,-175.0630,-137.4240,115.7970,25.5430,3.0670,2.0640,-7.8030,-65.3600,192.0310,-161.3190,-118.3260,50.7290,-37.9030,2.7820,3.5290,-4.3190,-7.1770,-137.8940,-179.5820,-129.2130,65.8940,20.8820,-0.3230,0.0960,-5.8710,-9.7060,8.4840,170.3850,-139.4440,-57.3710,-101.1160,-3.4550,0.4550,11.5570
120,-4.2340,-66.5200,-174.0570,-159.1280,-44.4290,85.1670,1.9270,-10.1680,1.2550,12.8090,193.2600,-177.1950,-171.2680,35.6750,47.2630,-1.6160,-0.6150,-11.6620,-39.6260,159.8260,-175.0630,-137.4240,115.7970,25.5430,3.0670,2.0640,-7.8030,-65.0710,190.3000,-162.4360,-172.8750,51.4160,-55.8570,5.7320,2.5880,-6.7280,-5.8390,-141.6670,-178.7850,-173.9760,68.8560,39.8590,-1.6640,-7.1850,-8.8710,-10.8920,5.3750,168.5680,-160.4360,-61.8910,-90.8870,-4.5180,-1.3190,14.7870
140,-5.8900,-69.5030,-172.6490,-146.8070,-89.6050,70.4190,9.0050,-13.3980,4.3050,13.5310,191.8810,-176.9850,-165.9100,39.2020,10.5000,-3.2800,-2.4610,-14.9180,-34.9790,155.3470,-175.5630,-119.2250,117.2930,-25.0060,1.6230,1.0270,-13.2260,-63.7870,186.9600,-164.0480,-166.0350,67.3240,-80.6050,7.2140,1.3170,-9.2870,-4.7250,-145.4520,-178.7850,-174.5710,57.5890,3.3700,-2.0710,-6.1990,-10.3550,-11.9680,2.5690,167.4620,-145.3220,-56.4400,-55.2840,-3.4260,-2.8060,17.2260
160,-7.4800,-71.6800,-171.3880,-106.5170,-86.2310,63.0450,11.0710,-15.3060,6.1750,13.7190,191.2670,-177.1230,-127.6650,12.4840,-6.8590,-3.3780,-3.7450,-16.1350,-33.8080,153.9430,-176.3180,-88.9200,66.5450,-37.7850,1.8200,0.7710,-14.2960,-62.6500,184.4590,-165.9410,-124.1120,59.9190,-94.6810,6.9600,2.2100,-10.3140,-4.1460,-148.7490,-179.1300,-150.2200,30.8710,-17.2560,-2.5450,-7.1540,-11.2890,-11.9680,2.5690,167.4620,-145.3220,-56.4400,-55.2840,-3.4260,-2.8060,17.2260
180,-8.2930,-72.5210,-170.2780,-39.6930,-47.3300,55.4270,12.6010,-14.5970,6.3160,13.2890,192.1000,-177.4510,-55.3450,-18.4620,-16.4010,-1.4800,-5.7820,-16.1350,-33.8310,153.5920,-177.0040,-36.2630,6.8050,-34.2890,2.3560,-1.4800,-14.7840,-62.1690,182.9600,-167.6010,-74.0050,27.1560,-83.0020,8.1550,2.9520,-11.0730,-4.3430,-150.9190,-179.3840,-93.8080,-7.9070,-12.7060,-1.7260,-8.3030,-13.6520,-11.9680,2.5690,167.4620,-145.3220,-56.4400,-55.2840,-3.4260,-2.8060,17.2260
